playerid,PlayerName,role,Team,IP_atc,SO_mean,SO_p05,SO_p50,SO_p95,BB_mean,BB_p05,BB_p50,BB_p95,H_mean,H_p05,H_p50,H_p95,ER_mean,ER_p05,ER_p50,ER_p95,W_mean,W_p05,W_p50,W_p95,SVHLD_mean,SVHLD_p05,SVHLD_p50,SVHLD_p95,WHIP_mean,WHIP_p05,WHIP_p50,WHIP_p95,Ks_mean,Ks_p05,Ks_p50,Ks_p95,W_mean_t,W_p05_t,W_p50_t,W_p95_t,SVHLD_mean_t,SVHLD_p05_t,SVHLD_p50_t,SVHLD_p95_t,ERA_mean,ERA_p05,ERA_p50,ERA_p95,K9_mean,K9_p05,K9_p50,K9_p95,BB9_mean,BB9_p05,BB9_p50,BB9_p95
3096,Kenley Jansen,RP,DET,60,1.0603437766920276,0.809314043896099,1.0567541009489867,1.332367069129916,0.38784067702187336,0.24039261434448028,0.38248647249337564,0.5542304398765967,0.7633295696180148,0.5602846149719116,0.7573512189393254,0.9845445036410085,0.3748557063137706,0.22350820276357347,0.36891814250210275,0.5440600355365837,0.0664917690977511,0.015199354171589364,0.06281291291114781,0.13444420595993323,0.4611035786083325,0.2940522121810138,0.45684948724365176,0.6477532288734705,1.151170246639888,0.9055104884003649,1.1469151817771328,1.419773105395691,63.3795,43,63,87,3.9788333333333332,1,4,8,27.584833333333332,16,27,41,3.3737013568239353,2.011573824872161,3.320263282518925,4.896540319829253,9.543093990228249,7.2838263950648905,9.51078690854088,11.991303622169244,3.4905660931968603,2.1635335291003224,3.4423782524403808,4.9880739588893706
3237,T.J. McFarland,RP,NA,24,0.5732219839341454,0.314393028117124,0.5644297227930333,0.8614333408946683,0.29159307082292246,0.11082915462743831,0.2817064321208655,0.5059727464253545,1.1393821238125545,0.7580388375658781,1.1273118105454,1.5502293930561675,0.5250921351547619,0.2641623564420872,0.5150542857455764,0.8180497458241314,0.042192815955649464,0,0.039318045923583816,0.12986157767784243,0.09849473602063492,0,0.0887375766205813,0.2248943774888692,1.430975194635477,1.00360489450304,1.4200815807157121,1.8892064359037115,13.736833333333333,7,13,22,1.011,0,1,3,2.364333333333333,0,2,5,4.7258292163928575,2.3774612079787847,4.635488571710188,7.3624477124171825,5.158997855407308,2.829537253054116,5.079867505137299,7.752900068052014,2.624337637406302,0.9974623916469447,2.5353578890877895,4.55375471782819
4301,Justin Wilson,RP,NA,45,0.9718071691897769,0.6965643659756764,0.9662399203636634,1.2709392404616873,0.39870114593019984,0.23066688351510875,0.39081344370061244,0.5892393974480443,1.0600328963754988,0.7670701520694589,1.053962843440762,1.3711233395145428,0.5866254534569715,0.36355554029806336,0.5793794112990432,0.8373282533539751,0.05060672641851851,0,0.045916008526978885,0.11857571886429152,0.08684070023285204,0.021056063523905426,0.082054033528491,0.1730881400040508,1.4587340423056985,1.1152373497319612,1.4540741067571268,1.8185185610803491,43.70133333333333,28,43,62,2.281,0,2,5,3.908333333333333,1,4,8,5.279629081112743,3.2719998626825704,5.214414701691389,7.535954280185776,8.746264522707992,6.269079293781088,8.69615928327297,11.438453164155185,3.5883103133717986,2.0760019516359787,3.517320993305512,5.303154577032399
5615,Ryan Brasier,RP,TEX,44,0.7857959978625012,0.5388755547193259,0.7802570036697752,1.0469995476671097,0.2780543969950751,0.1398299172337601,0.27306144577589353,0.43230551704360354,1.064266726037802,0.7726736188887712,1.056919379085323,1.388399932153872,0.5453294594324516,0.3282877395904101,0.5364576218072119,0.7889282111377802,0.035129622425051396,0,0.026197909575436752,0.0944239123529804,0.06393262944157926,0,0.05815168638699843,0.1408973456303023,1.342321123032877,1.0157255441745119,1.3342269448332646,1.6952385016805862,34.70433333333333,21,34,50,1.5535,0,1,4,2.8196666666666665,0,3,6,4.9079651348920645,2.954589656313691,4.828118596264908,7.100353900240022,7.072163980762511,4.849879992473933,7.022313033027977,9.422995929003987,2.502489572955676,1.2584692551038408,2.457553011983042,3.8907496533924317
6107,Huascar Brazobán,RP,NYM,52,0.9466054812111677,0.6897557515204924,0.9427805377690774,1.2165248445557986,0.47897567872058894,0.3089304403834339,0.47296424292770156,0.6704555191539088,0.8714941533926496,0.6302305943687477,0.8655960610973683,1.13676456026793,0.4648326837299043,0.28216945979024866,0.45611854866024315,0.6743458943339615,0.05215326688807111,0,0.04788765745582271,0.11520898833195331,0.06473646329489992,0.014505122904216542,0.06054331191689653,0.13430541642304444,1.3504698321132385,1.0500515070422132,1.3439528451614864,1.6723685837094975,49.16716666666667,32,49,68,2.7116666666666664,0,2,6,3.3645,1,3,7,4.183494153569138,2.539525138112238,4.105066937942189,6.0691130490056535,8.51944933090051,6.207801763684431,8.485024839921698,10.948723601002188,4.3107811084853,2.7803739634509053,4.256678186349314,6.034099672385179
6655,Craig Kimbrel,RP,NYM,32,1.2264142785588381,0.8823394495314307,1.2185803215660518,1.6053545687531097,0.47297392766744906,0.2658587747693197,0.46631662816646097,0.7073871906548912,0.8340679609596362,0.5580301146527158,0.8244399903308369,1.1431796110260213,0.4896745743329611,0.26621774066546827,0.47919386884518894,0.7457807603391842,0.07970581314762981,0,0.07087172028609917,0.1793228047865853,0.11708242708046418,0.029345739354521755,0.11126534671766322,0.22975598827848087,1.3070418886270854,0.9591925865564763,1.295798267676985,1.6900511231595565,39.322,25,39,55,2.554666666666667,0,2,6,3.754,1,4,8,4.40707116899665,2.3959596659892144,4.3127448196067,6.712026843052658,11.037728507029543,7.941055045782877,10.967222894094466,14.448191118777988,4.256765349007042,2.392728972923877,4.196849653498148,6.366484715894021
6984,Luis García,RP,NYM,60,0.8198884448828495,0.6076808191676913,0.815596683678213,1.0494512459529524,0.33197441877577566,0.20050998733192854,0.3266552261011879,0.47812098352674454,1.0536768300762291,0.7979161805468056,1.048018065015278,1.329240097433152,0.521736675606352,0.3379636606577358,0.5139892929282729,0.7272502073183843,0.04819897639679857,0,0.044551411178899436,0.10708161529514759,0.06839103841882146,0.016562142753951268,0.06457501626445258,0.1321583756070669,1.3856512488520047,1.0968072958066009,1.3816929968680083,1.6917165347234984,49.4265,33,49,69,2.909,0,3,6,4.131666666666667,1,4,8,4.695630080457168,3.0416729459196223,4.625903636354456,6.545251865865459,7.3789960039456455,5.469127372509222,7.340370153103917,9.44506121357657,2.987769768981981,1.8045898859873568,2.9398970349106914,4.303088851740701
7048,Fernando Cruz,RP,NYY,61,1.3952118355269454,1.0892382866770935,1.3892841107263327,1.7196751107857022,0.5788197011107059,0.394344371805609,0.5707277094267549,0.7881849829271794,0.8106989255088828,0.5943926809582452,0.805143719573021,1.0407452988592274,0.5186217860121313,0.33051620283625804,0.5115569419780581,0.733469496473665,0.0489217835986181,0,0.044341645198660046,0.10736948415662746,0.3314737397668838,0.1803627752008315,0.32450139602619466,0.5040783094336803,1.3895186266195887,1.100855399376018,1.3830185416702327,1.6992473679894284,84.98633333333333,58,84,115,2.9768333333333334,0,3,7,20.1905,10,20,32,4.6675960741091815,2.9746458255263226,4.604012477802523,6.601225468262985,12.556906519742508,9.803144580093843,12.503556996536995,15.47707599707132,5.209377309996353,3.5490993462504807,5.136549384840794,7.093664846344614
7836,Hunter Strickland,RP,LAA,14,0.7602014229960139,0.3806952351582223,0.7472173385687484,1.177299495307599,0.3925806895905105,0.13247682390042023,0.37954000543857336,0.7139055030445591,0.9075333756290072,0.4984165967978096,0.891915609594326,1.3770038205966089,0.44304581602879567,0.15788663922549181,0.4268857251811484,0.7852377686605365,0.04494777581995533,0,0,0.1562300458332053,0.048445022129231415,0,0,0.1627305099677213,1.3001140652195176,0.8013070095422671,1.2860280508177315,1.857187418174869,10.641,5,10,17,0.6288333333333334,0,0,2,0.6785,0,0,2,3.987412344259161,1.4209797530294264,3.841971526630336,7.067139917944829,6.841812806964125,3.4262571164240008,6.724956047118735,10.595695457768391,3.5332262063145947,1.192291415103782,3.4158600489471604,6.425149527401032
9073,Kirby Yates,RP,LAA,56,1.2120488252586608,0.9266669754243622,1.2072795604371058,1.5172249816062242,0.5327588107744902,0.34599386520382513,0.527489433666082,0.7443110038506953,0.6595178189366027,0.461198234991813,0.6553906473031363,0.8768776323140098,0.35532988557148293,0.20167299455918997,0.34909266638781244,0.5255612752893942,0.07773910766357146,0.017580717274668554,0.072468975915771075,0.1568121465791123,0.3327360306248588,0.18711297174642935,0.32531654058754833,0.5028891890207496,1.192276629711093,0.9125165443382324,1.1883201155628509,1.4885756238024572,67.92933333333333,46,67,93,4.366,1,4,9,18.661166666666666,10,18,30,3.1979689701433465,1.8150569510327097,3.141833997490312,4.730051477604548,10.908439427327947,8.34000277881926,10.865516043933953,13.655024834456018,4.794829296970412,3.113944786834426,4.747404902994738,6.698799034656258
10061,Brooks Raley,RP,NYM,62,1.0755143635477413,0.813951581360861,1.0679316311115068,1.3670105088940656,0.3567730516650206,0.21219493663682615,0.3507847891974467,0.523955247383896,0.7652010601640267,0.5487385752222401,0.7594513477863309,1.006306483634989,0.3637301916413048,0.20969652972182823,0.3579603349162543,0.5348130992036277,0.05166981439057153,0,0.047294052227801135,0.11268390494045175,0.4256565897421147,0.2455706618521819,0.41514268314410496,0.6484389576275456,1.1219741118290472,0.8582454064485798,1.116413055206603,1.4090240101771503,66.71916666666667,45,66,92,3.2023333333333333,0,3,7,26.393333333333334,14,25,42,3.2735717247717435,1.8872687674964541,3.2216430142462884,4.81331789283265,9.679629271929672,7.325564232247749,9.61138468000356,12.30309458004659,3.2109574649851855,1.9097544297314353,3.1570631027770206,4.715597226455063
10078,Caleb Thielbar,RP,CHC,66,1.0358299499146026,0.7890551452806207,1.031745175449401,1.2932727196270422,0.3072633920594241,0.1840884663127545,0.302694285146264,0.44732173092302163,0.8846293053765921,0.6651539847290441,0.8804370231317299,1.1259277391154,0.4309738965584295,0.27289176743096627,0.42434603643785396,0.6144038743503194,0.0668593800444731,0.015350444752139737,0.06267288206724794,0.13367275301786433,0.09129520246203426,0.03170042529884472,0.08790250680612688,0.16624364371885308,1.1918926974360162,0.9412380240690594,1.1846831047124455,1.4663756222991813,68.42966666666666,46,68,94,4.412833333333333,1,4,9,6.0328333333333335,2,6,11,3.8787650690258655,2.4560259068786965,3.8191143279406856,5.529634869152875,9.322469549231425,7.101496307525586,9.285706579044609,11.63945447664338,2.7653705285348167,1.6567961968147904,2.7242485663163762,4.025895578307194
10233,Aroldis Chapman,RP,BOS,62,1.3707499653432706,1.0822369173499058,1.36655049721249,1.6744518794563696,0.4346188315574769,0.27845135469369936,0.42836143148841566,0.6166703650276415,0.6746381535246616,0.48156738301736823,0.6684363924857433,0.8890967335233901,0.33944752405097883,0.20218674306810336,0.3338595330330756,0.4975062917795083,0.09030548383201895,0.026987513636383832,0.08617216251539804,0.1703182606773227,0.39280743500820736,0.24267556796732995,0.387515432862672,0.5636551623781645,1.1092569850821385,0.8586026997682271,1.1047046981844981,1.3723967939000932,84.822,59,84,113,5.579833333333333,2,5,11,24.311333333333334,14,24,37,3.0550277164588096,1.8196806876129301,3.0047357972976805,4.477556626015574,12.336749688089435,9.740132256149153,12.29895447491241,15.070066915107327,3.911569484017292,2.506062192243294,3.8552528833957407,5.550033285248773
